Parcela,x,y,altitude,agb,npp,tmed
A1-P01C,-50.452566,-6.318841,640,76,3400,22.93
A1-P02C,-50.457662,-6.321823,743,129,3400,22.93
A1-P03C,-50.464454,-6.319116,685,203,5209,23.1
A1-P04C,-50.461265,-6.316697,734,105,5209,23.1
A1-P05C,-50.461722,-6.312338,748,99,5621,22.91
A1-P06C,-50.460071,-6.309098,700,148,5621,22.91
A1-P07C,-50.460772,-6.304521,669,82,6508,22.96
A1-P08C,-50.464911,-6.296592,703,61,7497,23.19
A1-P09C,-50.469102,-6.292173,701,72,8647,23.09
A1-P10C,-50.470292,-6.286331,712,64,8493,22.99
A1-P11FL,-50.469201,-6.319157,618,326,7491,23.63
A1-P12FL,-50.458648,-6.295365,558,317,7497,23.19
A1-P13FL,-50.455476,-6.293398,468,321,7606,23.87
A1-P14FL,-50.459563,-6.293176,556,338,7497,23.19
A1-P15FL,-50.461834,-6.291243,597,253,8042,23.22
A1-P18FL,-50.452711,-6.301111,570,331,7705,23.46
A2-P16FL,-50.451108,-6.303625,529,332,7705,23.46
A2-P17FL,-50.451707,-6.301997,530,334,7705,23.46
A2-P19FL,-50.450244,-6.299752,496,326,7606,23.87
A2-P20FL,-50.451774,-6.306728,575,333,7705,23.46
A2-P21C,-50.448975,-6.337327,738,78,5686,23.24
A2-P22C,-50.449308,-6.330154,792,78,6192,23.06
A2-P23C,-50.446048,-6.327147,665,82,6192,23.06
A2-P24C,-50.453282,-6.32578,760,84,2434,22.87
A2-P25C,-50.450544,-6.324664,719,92,3400,22.93
A2-P26C,-50.444643,-6.321791,716,94,5354,22.96
A2-P27C,-50.444576,-6.316707,729,33,5354,22.96
A2-P28C,-50.44012,-6.315381,691,116,7534,23.25
A2-P29C,-50.446426,-6.310929,714,152,8300,22.93
A2-P30C,-50.447659,-6.308307,674,255,7836,23.24
A2-P31FL,-50.460672,-6.331405,594,328,7668,23.6
A2-P32FL,-50.438577,-6.329763,547,329,7897,23.59
A3-P33C,-50.434844,-6.34576,703,81,3670,23.03
A3-P34C,-50.435326,-6.351279,728,36,3664,22.93
A3-P35C,-50.4408,-6.356179,730,41,3664,22.93
A3-P36C,-50.43847,-6.361341,713,171,8241,23.37
A3-P37C,-50.441278,-6.348083,735,62,3670,23.03
A3-P38C,-50.441231,-6.350525,744,49,3664,22.93
A3-P39C,-50.446665,-6.358193,721,3,4483,22.93
A3-P40C,-50.452129,-6.355548,762,83,7914,23.05
A3-P41C,-50.446299,-6.345899,755,20,3711,22.93
A3-P42C,-50.448282,-6.343287,731,95,3711,22.93
