"samplec","Tobs","ele","Tmed"
"Sep",18.5,312,20.11
"Sep",19,322,20.07
"Sep",18.9,328,20.06
"Sep",21.1,352,19.97
"Sep",19.9,384,19.85
"Sep",16.3,442,19.63
"Sep",17.9,465,19.5
"Sep",18.5,475,19.45
"Sep",19.3,477,19.44
"Sep",18.6,571,18.91
"Sep",15.8,601,18.76
"Sep",15.9,621,18.67
"Sep",16.1,639,18.58
"Sep",21.3,708,18.27
"Sep",19,712,18.26
"Sep",14.8,929,17.34
"Sep",13.9,958,17.22
"Sep",15.5,983,17.11
"Sep",15.6,985,17.1
"Sep",14,991,17.07
"Sep",14.7,1024,16.96
"Sep",14.8,1131,16.67
"Sep",12.4,1139,16.64
"Sep",12.6,1198,16.48
"Sep",12.9,1303,15.99
"Sep",13,1330,15.84
"Sep",14.8,1337,15.81
"Sep",13.8,1353,15.74
"Sep",12.1,1373,15.65
"Sep",7.4,1425,15.41
"Sep",13.8,1444,15.32
"Sep",13.4,1546,14.75
"Sep",14,1575,14.61
"Sep",16.7,1586,14.55
"Sep",16.5,1627,14.39
"Sep",11.2,1633,14.36
"Sep",11,1636,14.35
"Sep",7.4,1796,14
"Oct",17.2,312,19.73
"Oct",15.4,322,19.69
"Oct",14.6,328,19.67
"Oct",12,352,19.59
"Oct",14,384,19.45
"Oct",20.4,442,19.21
"Oct",15.7,465,19.08
"Oct",12.5,475,19.04
"Oct",15,477,19.03
"Oct",17.1,571,18.57
"Oct",20.4,601,18.41
"Oct",15.3,621,18.3
"Oct",15.6,639,18.2
"Oct",21,708,17.8
"Oct",16.1,712,17.78
"Oct",15.7,929,16.58
"Oct",16.6,958,16.42
"Oct",16.4,983,16.27
"Oct",15.7,985,16.26
"Oct",16.9,991,16.22
"Oct",12.8,1024,16.05
"Oct",14.1,1131,15.54
"Oct",13.5,1139,15.5
"Oct",15.2,1198,15.22
"Oct",14.2,1303,14.64
"Oct",14.5,1330,14.48
"Oct",16,1337,14.44
"Oct",4.6,1353,14.36
"Oct",14.8,1373,14.26
"Oct",10,1425,13.98
"Oct",10.6,1444,13.87
"Oct",10.9,1546,13.25
"Oct",3.6,1575,13.08
"Oct",4.6,1586,13.02
"Oct",5,1627,12.81
"Oct",9.2,1633,12.77
"Oct",8.9,1636,12.76
"Oct",9.9,1796,12.23
"Nov",15.1,312,20.13
"Nov",14.4,322,20.09
"Nov",17.9,328,20.06
"Nov",15.6,352,19.96
"Nov",14.6,384,19.79
"Nov",19.3,442,19.51
"Nov",17.9,465,19.37
"Nov",14.1,475,19.33
"Nov",17.1,477,19.32
"Nov",16.2,571,18.8
"Nov",18,601,18.63
"Nov",16.5,621,18.51
"Nov",15.5,639,18.41
"Nov",22.1,708,18
"Nov",16,712,17.99
"Nov",16.9,929,16.92
"Nov",16.7,958,16.73
"Nov",14,983,16.56
"Nov",16.7,985,16.55
"Nov",17,991,16.5
"Nov",15.9,1024,16.32
"Nov",16.8,1131,15.77
"Nov",9.9,1139,15.73
"Nov",22.2,1198,15.45
"Nov",18.8,1303,14.82
"Nov",21.8,1330,14.64
"Nov",14.2,1337,14.6
"Nov",11.4,1353,14.51
"Nov",19.3,1373,14.4
"Nov",12.2,1425,14.1
"Nov",12.8,1444,13.99
"Nov",11.3,1546,13.34
"Nov",9,1575,13.15
"Nov",9.3,1586,13.08
"Nov",9.6,1627,12.84
"Nov",11.3,1633,12.8
"Nov",13,1636,12.78
"Nov",10.6,1796,12.05
"Jan",20.7,312,22.83
"Jan",16,322,22.78
"Jan",18.6,328,22.75
"Jan",16,352,22.65
"Jan",16.9,384,22.48
"Jan",20.4,442,22.2
"Jan",14.5,465,22.06
"Jan",16.7,475,22.01
"Jan",20.2,477,22
"Jan",17.6,571,21.48
"Jan",19.7,601,21.32
"Jan",18.7,621,21.21
"Jan",17.7,639,21.11
"Jan",20,708,20.72
"Jan",17.3,712,20.71
"Jan",18.4,929,19.63
"Jan",18.1,958,19.44
"Jan",18.6,983,19.27
"Jan",19.1,985,19.26
"Jan",17.3,991,19.21
"Jan",18.5,1024,19.03
"Jan",16.1,1131,18.44
"Jan",15.7,1139,18.4
"Jan",18.1,1198,18.09
"Jan",17.5,1303,17.45
"Jan",17.5,1330,17.28
"Jan",17.7,1337,17.23
"Jan",16.1,1353,17.14
"Jan",17.3,1373,17.04
"Jan",14.9,1425,16.74
"Jan",16.5,1444,16.63
"Jan",16.3,1546,16
"Jan",13.8,1575,15.82
"Jan",16.6,1586,15.75
"Jan",14.5,1627,15.53
"Jan",13,1633,15.49
"Jan",15.2,1636,15.47
"Jan",11.2,1796,14.75
"Feb",19.8,312,22.13
"Feb",19.9,322,22.08
"Feb",20.1,328,22.05
"Feb",17.1,352,21.93
"Feb",20.5,384,21.75
"Feb",17.9,442,21.45
"Feb",18.3,465,21.3
"Feb",19.6,475,21.25
"Feb",19.7,477,21.24
"Feb",19.6,571,20.72
"Feb",16,601,20.56
"Feb",18.3,621,20.44
"Feb",18.7,639,20.35
"Feb",19.9,708,19.96
"Feb",18.5,712,19.94
"Feb",18.6,929,18.96
"Feb",18.9,958,18.75
