ponto	lon	lat	alt	ric	ABU	ABUd	ppa	MDE	are_buf_tot	flo	cam	are	MAT.P	MAT.B	MAP.P	MAP.B	NPP.P	NPP.B	ARE	WSC	PVS	PSA	PHA	PHA.P	BHA	BHA.P
F104	-49.475843	-28.27096	312	8	371	0.291231651	1273.9	2	849145.53	473417.72	0	724594116.1	17.84	18.5	1465	1474.56	1759	1671.03	724.5941161	0.36	0	1014.43	0.475521497	0.56	413.0186462	0.57
F105	-49.471251	-28.266882	322	14	919	0.175784239	5228	3.7	977563.13	629775.38	0	713283546	18.27	18.45	1463	1476.86	1778.5	1678.954	713.283546	0.39	0.23	6691.03	0.625640403	0.64	406.5716212	0.57
F102	-49.448269	-28.22512	328	14	313	0.151676682	2063.6	4.12	882749.87	250172.89	0	709567665.8	18.24	18.43	1469	1477.95	1778.9	1685.939	709.5676658	0.74	0	1886.05	0.247169964	0.28	404.4535695	0.57
F101	-49.458121	-28.21171	352	14	172	0.117422174	1464.8	5.72	855766.16	219770.04	0	677476918.8	18.17	18.11	1474	1499.97	1467.3	1706.202	677.4769188	0.12	0.07	688.18	0.222499202	0.26	386.1618437	0.57
F103	-49.470778	-28.213213	384	14	210	0.187115744	1122.3	7.77	838960.98	121612.02	0	603681334.4	17.6	18.19	1481	1494.25	1118.9	1692.63	603.6813344	0.44	0	553.89	0.117454537	0.14	380.3192407	0.63
F205	-49.45317	-28.177236	442	14	401	0.348877675	1149.4	11.34	844202.26	68623.81	0	447071331.1	17.5	17.92	1487	1509.63	1774.7	1715.538	447.0713311	0.49	0.53	947.28	0.067536181	0.08	304.0085051	0.68
F201	-49.477235	-28.282905	465	15	217	0.138667007	1564.9	12.75	861766.58	411742.76	0	389117363.9	17.48	17.81	1505	1516.86	1771.7	1725.651	389.1173639	0	0.78	1226.36	0.413647958	0.48	280.164502	0.72
F204	-49.485467	-28.213576	475	16	355	0.184042719	1928.9	13.35	880847.85	263203.12	0	366965939.8	17.27	17.73	1513	1520.03	1754.2	1724.831	366.9659398	1	0	1854.6	0.264254355	0.3	227.5188827	0.62
F203	-49.487366	-28.261007	477	16	542	0.38368965	1412.6	13.46	846082.43	621958.13	0	361475551.8	17.12	17.72	1492	1520.43	1752.2	1728.892	361.4755518	0.32	0.22	845.52	0.626100998	0.74	227.7295976	0.63
F202	-49.363367	-28.130717	571	20	260	0.070312077	3697.8	17.4	949824.55	350068.36	0	254396828.9	17.2	17.17	1534	1554.38	1747.7	1732.731	254.3968289	0	0.64	5300.75	0.351435084	0.37	208.6053997	0.82
F303	-49.454128	-28.160606	601	19	527	0.212397227	2481.2	18.29	900753.76	591554.79	0	239798202.4	16.3	17.04	1554	1563.83	1785.5	1731.909	239.7982024	0.79	0.52	2249.38	0.594497482	0.66	179.8486518	0.75
F304	-49.473162	-28.164016	621	25	867	0.185035001	4685.6	18.96	1003734.56	581999.8	0	253231104	16.76	16.95	1534	1569.29	1774.3	1733.893	253.231104	0.44	0.44	6722.97	0.582166045	0.58	212.7141274	0.84
F305	-49.479192	-28.170122	639	23	588	0.34576032	1700.6	19.38	858739.4	487316.36	0	203564280.4	16.6	16.91	1542	1572.19	1746.6	1733.274	203.5642804	0.67	0	911.65	0.489481458	0.57	148.6019247	0.73
F302	-49.404297	-28.126418	708	21	629	0.249108911	2525	20.86	911486.37	575918.96	0	248058045.3	15.99	16.51	1587	1590.97	1782.7	1725.73	248.0580453	0.18	0	3276.79	0.574236413	0.63	200.9270167	0.81
F301	-49.380148	-28.123942	712	22	370	0.196672514	1881.3	20.92	860991.72	604584.21	0	248874924.5	16.61	16.5	1570	1591.24	1751.3	1721.495	248.8749245	0.17	1	835.98	0.602694204	0.7	199.0999396	0.8
F402	-49.476978	-28.043779	929	18	373	0.265140745	1406.8	23.38	856620.38	182417.92	0	611806655.4	15.05	15.43	1584	1598.04	1441.4	1637.961	611.8066554	0.64	0.16	1202.78	0.17989028	0.21	379.3201263	0.62
F403	-49.443083	-28.051046	958	19	387	0.528977583	731.6	23.48	822694.23	257122.11	0	492864338.5	14.69	15.28	1617	1606.61	1776.6	1692.305	492.8643385	0.15	0.33	209.32	0.255035211	0.31	345.005037	0.7
F405	-49.416454	-28.075432	983	21	258	0.084526423	3052.3	23.59	902046.75	423035.37	0	443593568.1	14.66	15.14	1627	1614.51	1791.7	1702.601	443.5935681	0.05	0	2381.7	0.423961973	0.47	350.4389188	0.79
F404	-49.42869	-28.067771	985	21	250	0.276885591	902.9	23.6	829795.1	406531	0	440984021.4	14.87	15.13	1610	1614.57	1799.1	1703.188	440.9840214	0.18	0.19	538.16	0.406599599	0.49	348.3773769	0.79
F401	-49.485991	-28.069147	991	23	257	0.339363528	757.3	23.61	823434.53	696662.01	0	433869242	14.42	15.1	1648	1615.85	1762.2	1716.671	433.869242	0.33	0	222.6	0.699919351	0.85	338.4180088	0.78
F501	-49.468315	-28.043531	1024	23	324	0.198870611	1629.2	23.63	866168.5	296211.69	0	413379852.8	15.05	14.96	1590	1616.48	1392	1701.117	413.3798528	0.04	0.53	1551.63	0.29449729	0.34	343.1052778	0.83
F502	-49.463754	-28.054644	1131	23	503	0.402335626	1250.2	23.6	843794.38	439539.88	0	505345845.6	14.52	14.49	1626	1619.02	1785.9	1572.783	505.3458456	0.68	0.35	718.91	0.438773078	0.52	459.8647195	0.91
F504	-49.550437	-28.081191	1139	23	399	0.148575684	2685.5	23.57	919617.91	773972.8	101632.73	520258474.5	14.34	14.46	1639	1619.64	1794.7	1564.718	520.2584745	0.03	0.74	4325.45	0.873637015	0.95	473.4352118	0.91
F505	-49.658752	-28.329245	1198	23	135	0.116842652	1155.4	23.26	843637.67	244092.85	408268.04	684397556.8	14.05	14.22	1625	1626.08	1305.6	1483.735	684.3975568	0	0	780.89	0.649601006	0.77	622.8017767	0.91
F601	-49.564759	-28.292319	1303	22	117	0.125106929	935.2	22.26	833060.64	444752.01	274495.27	863048354.5	13.37	13.74	1694	1656.06	1821.1	1456.579	863.0483545	0.89	0	675.89	0.71643215	0.86	785.3740026	0.91
F602	-49.557812	-28.281763	1330	22	233	0.063148765	3689.7	21.91	968300.54	316190.6	536829.33	863678445.6	13.55	13.61	1704	1666.02	1814.9	1451.024	863.6784456	0.11	0.48	5989.96	0.852104475	0.88	785.9473855	0.91
F605	-49.435689	-28.093822	1337	24	902	1.015651391	888.1	21.8	830004.18	720984.32	0	861075790	14.21	13.58	1656	1668.66	1748.6	1458.505	861.07579	0.42	1	524.94	0.722103637	0.87	783.5789689	0.91
F604	-49.63574	-28.142349	1353	22	279	0.275175067	1013.9	21.52	835408.01	398713.52	423035.4	837093162.7	13.24	13.51	1726	1674.48	1309.7	1466.626	837.0931627	0.02	0.92	595.23	0.81869985	0.98	761.7547781	0.91
F603	-49.560454	-28.314437	1373	22	157	0.209110282	750.8	21.2	823220.26	159832.89	615008.36	818238320.2	12.86	13.41	1701	1682.6	953.7	1469.851	818.2383202	0.13	0	422.23	0.773827044	0.94	744.5968714	0.91
F704	-49.534131	-28.083537	1425	22	143	0.135122366	1058.3	20.35	837217.44	709691.83	97289.16	644922908.7	13.65	13.15	1753	1699.05	1784.3	1526.445	644.9229087	0	0.66	720.88	0.803728742	0.96	580.4306178	0.9
F705	-49.541867	-28.089954	1444	21	316	0.295714018	1068.6	19.95	838365.32	697530.66	53856.67	581742314.3	13.03	13.33	1732	1688	1786.7	1675.425	581.7423143	0.19	1	735.18	0.754528788	0.9	541.0203523	0.93
